PID,Process Name,CPU Usage,GPU Usage,Memory Usage,IO_Usage,Timestamp
7156,LiDAR360.exe,8.791666666666666,0.0,7.688697984859467,"pio(read_count=259965, write_count=240, read_bytes=984472684, write_bytes=99649, other_count=163939, other_bytes=1954852)",1646724044.5640395
13224,LiDAR360.exe,8.983333333333333,0.0,7.688578610153726,"pio(read_count=261284, write_count=240, read_bytes=985191270, write_bytes=99651, other_count=175569, other_bytes=2090652)",1646724048.6301632
14668,LiDAR360.exe,9.049999999999999,0.0,7.36502540771237,"pio(read_count=345404, write_count=240, read_bytes=1335531225, write_bytes=99651, other_count=161050, other_bytes=1946708)",1646724052.6943712
14936,LiDAR360.exe,8.783333333333333,0.0,7.686023991450861,"pio(read_count=260317, write_count=240, read_bytes=984634205, write_bytes=99651, other_count=167233, other_bytes=1994916)",1646724056.7595656
7156,LiDAR360.exe,8.658333333333333,8.0,7.69087060450396,"pio(read_count=261039, write_count=240, read_bytes=984990135, write_bytes=99649, other_count=173826, other_bytes=2073720)",1646724060.8418326
13224,LiDAR360.exe,8.858333333333333,16.0,6.500776413086141,"pio(read_count=262164, write_count=240, read_bytes=985618190, write_bytes=99651, other_count=183809, other_bytes=2190812)",1646724064.9077008
14668,LiDAR360.exe,9.241666666666667,18.0,7.365037345182944,"pio(read_count=346522, write_count=240, read_bytes=1336070022, write_bytes=99651, other_count=171349, other_bytes=2070584)",1646724068.9711177
14936,LiDAR360.exe,8.525,16.0,7.688351798212817,"pio(read_count=261391, write_count=240, read_bytes=985151656, write_bytes=99651, other_count=177120, other_bytes=2113784)",1646724073.0346303
7156,LiDAR360.exe,8.716666666666667,13.0,6.563746570364703,"pio(read_count=262139, write_count=240, read_bytes=985523785, write_bytes=99649, other_count=184135, other_bytes=2198964)",1646724077.117856
13224,LiDAR360.exe,8.591666666666667,1.0,6.504262154493789,"pio(read_count=263430, write_count=240, read_bytes=986227353, write_bytes=99651, other_count=195426, other_bytes=2330184)",1646724081.1953397
