Total CPU,Total GPU,Total Memory
34.24166667,0,26.46755682
35.475,0,26.47098287
35.93333333,0,27.85424921
34.7,0,26.06935861
35.08333333,13,26.76605327
35.85833333,10,26.76690083
35.53333333,2,24.10995413
35.275,3,24.84357139
32.69166667,23,22.12544515
35.20833333,12,20.8775736
34.53333333,10,21.73949479
35.025,3,19.47795292
35.14166667,4,19.30064567
33.325,8,20.28394706
34.10833333,11,19.46103753
35.675,10,19.36702995
34.55,0,19.7229337
34.49166667,2,20.62829534
36.63333333,1,23.12543512
35.8,1,24.87817811
34.64166667,3,23.74079979
32.83333333,1,23.0625724
34.94166667,7,23.683297
35.40833333,3,25.77741583
34.75833333,2,26.72108482
34.49166667,6,26.72315
35.85,19,27.66732036
35.80833333,6,26.1293444
35.26666667,2,28.21154965
35.60833333,1,26.67795474
35.09166667,7,26.67537625
35.8,0,26.92668388
35.09166667,0,28.7053073
34.76666667,0,27.16760591
35.40833333,0,28.94203928
35.53333333,7,27.27775295
35.93333333,17,27.27494764
34.825,6,27.3903233
34.63333333,2,27.44128436
35.33333333,13,27.47322903
35.79166667,11,25.30274619
35.21666667,3,29.2249454
35.86666667,31,29.29087605
35.01666667,22,29.30937913
35.21666667,10,27.59987365
34.575,0,23.80565607
34.76666667,0,27.66155456
35.74166667,2,27.65569327
35.46666667,9,25.34391853
36.05833333,0,29.13437581
35.03333333,4,27.42507327
34.81666667,2,29.01250617
35.01666667,5,27.35281576
34.625,6,25.67628158
34.24166667,3,27.2970439
33.45833333,3,29.15649594
35.00833333,17,27.50579445
35.48333333,1,29.21321086
35.14166667,2,27.52109829
34.75833333,3,29.39954284
35.74166667,8,29.39674947
34.76666667,3,29.51159988
34.24166667,5,27.76070719
35.86666667,19,27.76282013
35.79166667,2,26.00832233
35.21666667,8,25.57147059
35.41666667,23,27.84682411
34.43333333,6,27.83578195
35.8,4,29.63029415
34.75833333,9,31.42484216
35.01666667,2,29.65531509
36.11666667,8,27.87802866
34.825,15,27.88089365
35.14166667,6,27.88657588
34.9,4,29.2543832
35.09166667,4,27.47726389
35.925,0,27.47164134
35.15833333,0,29.03215525
36,0,28.93145075
34.95833333,2,27.24824352
35.025,3,27.2458799
35.6,2,27.24874489
34.55833333,0,28.88408286
35.48333333,0,27.19174347
35.85,1,27.18934404
35.08333333,3,28.85120707
35.28333333,2,28.83339636
34.36666667,2,27.16419179
34.375,4,27.15899899
36.04166667,0,25.0437747
34.56666667,0,30.92821951
35.34166667,2,29.24914265
35.48333333,12,27.56942117
35.46666667,18,27.57202353
36.00833333,1,27.70136603
34.375,2,29.56411281
35.09166667,7,27.8054369
36.05833333,2,27.80535333
34.63333333,0,29.69695298
35.29166667,6,31.57817897
34.975,14,28.08055978
35.28333333,12,28.08070303
34.95,7,28.08372321
34.5,15,27.11491391
34.89166667,12,29.47712446
36.125,1,30.06340946
35.60833333,0,28.25790284
35.28333333,11,31.26381762
34.825,1,31.42527191
35.4,7,29.26940054
35.675,4,30.84887115
34.83333333,5,30.85240464
35.075,6,30.84472884
35.4,2,33.85017806
35.80833333,1,34.77304003
35.475,2,34.77782696
34.625,4,34.76543587
35.35,13,32.6515247
35.58333333,14,29.92217724
34.69166667,4,32.44258315
35.675,2,32.44127003
35.33333333,5,30.33179961
35.28333333,3,26.8561573
35.93333333,2,26.8519195
34.56666667,1,26.05247903
34.30833333,0,26.68611997
36.2,0,25.38918542
34.825,11,24.72392212
35.33333333,6,23.92070941
34.24166667,3,24.25197422
35.025,0,22.50385103
35.925,10,20.6827302
34.96666667,54,20.92276886
34.69166667,47,22.77727879
35.925,28,22.63560489
35.15,3,22.54217031
34.81666667,0,22.16529243
34.89166667,6,23.00426979
34.5,1,21.69900289
35.08333333,0,24.87740218
34.63333333,0,22.71808087
34.9,1,25.13360417
35.68333333,10,29.62526847
35.80833333,2,29.62369273
35.85833333,5,27.02233883
35.35833333,15,24.89198977
35.475,0,27.5844385
34.75833333,6,31.34951672
35.225,43,31.87302256
35.93333333,35,31.87894354
34.625,0,31.87070669
35.94166667,0,28.02263917
35.15,0,30.75568725
34.49166667,0,30.76257517
35.1,2,27.28073732
35.08333333,15,29.184167
36.13333333,1,33.25451022
36.05833333,0,33.24854148
34.11666667,7,33.53076716
35.40833333,5,33.55294698
35.85,34,33.55639691
34.55833333,23,31.6851984
35.475,3,31.97425231
34.30833333,8,31.99628888
35.40833333,4,31.99923743
35.79166667,6,30.8661566
34.31666667,2,34.34444903
35.66666667,13,34.34385215
35.4,3,34.32674576
34.83333333,4,34.3259937
35.54166667,2,34.34412672
35.34166667,2,34.35444069
36.06666667,2,34.34965377
35.53333333,0,30.39250164
34.75,12,32.37622276
35.20833333,57,32.39305459
35.28333333,0,32.38782598
35.275,108,34.34789896
35.15,7,34.37369583
34.575,57,34.3600513
35.925,2,31.3579207
34.89166667,2,29.71385644
34.5,1,34.32111127
35.55,13,34.32106352
35.54166667,3,30.28603134
36.30833333,5,32.25666899
34.63333333,10,32.25662124
34.425,10,32.2508435
34.89166667,0,34.17728863
35.21666667,0,34.17728863
34.95,1,34.17006646
35.725,16,32.15477074
35.15,30,32.1586146
36.25833333,2,33.84935437
34.7,21,33.849426
34.3,8,31.48408783
35.34166667,4,31.50483515
35.725,4,31.50185079
35.48333333,5,29.6126625
35.675,5,31.29585779
34.63333333,5,33.02482134
35.14166667,6,28.75287812
32.36666667,14,33.15006929
34.5,12,33.15295815
35.41666667,5,33.28551183
33.59166667,3,31.41245107
36.05,22,31.41289275
35.01666667,18,31.36862861
34.94166667,3,31.45556921
35.15833333,5,32.74790784
35.40833333,6,33.4669375
35.225,9,33.17277435
34.3,3,33.17806265
35.6,3,33.17535285
36.38333333,0,32.86002456
35.34166667,9,30.93551331
35.46666667,3,30.93631312
35.15,2,30.75147332
34.825,8,28.33339541
35.725,1,30.60058369
34.95,11,32.29570452
35.68333333,10,32.30423981
35.85833333,5,30.01163665
35.275,9,32.0272308
35.20833333,24,29.58000159
34.18333333,15,29.58260395
34.5,5,29.51642262
36.525,9,31.22247816
35.01666667,5,29.45543408
35.34166667,6,31.22839915
35.60833333,9,31.23121639
34.43333333,21,33.00223565
34.825,6,29.48513451
35.275,51,29.48489576
35.6,7,27.72108673
36.44166667,4,27.79194756
34.825,6,31.27508659
34.44166667,2,29.49842091
35.41666667,0,31.30815339
35.15833333,8,31.31160332
35.48333333,6,31.31160332
35.09166667,4,29.59735867
35.525,0,29.42876577
35.40833333,2,27.62941889
34.825,2,31.24774979
34.69166667,6,31.26576343
33.85,0,28.72492057
35.01666667,8,31.362254
35.20833333,22,31.35676277
35.53333333,10,31.36232563
35.275,13,29.66104507
35.20833333,2,29.67018918
35.8,20,27.8257306
34.69166667,16,25.99236193
34.56666667,15,31.60594553
35.475,8,29.75582859
35.8,2,32.34918438
34.825,2,32.34913663
35.60833333,5,32.34831295
35.20833333,2,29.46926961
35.81666667,2,31.2835622
35.925,13,31.27815452
34.43333333,8,25.28515036
35.85,4,34.34557115
35.86666667,1,33.37658279
35.00833333,2,34.33881454
34.56666667,14,34.68260176
35.98333333,8,34.69986334
35.925,10,34.69661635
35.98333333,26,30.49559364
34.9,0,32.95307715
35.01666667,36,32.95966663
35.875,7,32.95966663
35.54166667,12,35.65266449
34.95,16,35.67637231
34.95,11,35.67619325
35.66666667,16,35.66646421
35.94166667,41,35.39973336
34.575,21,35.4162787
34.95833333,13,35.41083521
35.08333333,16,31.01178181
36.375,9,31.01933822
34.70833333,4,32.97180704
34.44166667,14,30.89229966
36.10833333,3,30.88592505
35.15,12,34.76495837
35.225,16,34.7783164
35.40833333,3,33.79548057
35.15833333,0,31.71326339
35.73333333,1,31.71732213
35.15,0,30.60246981
